"astro-ph/9811422","Ibrahim Arbab Arbab","Arbab I.Arbab","Primordial Black Holes With Variable Gravity","A more revised version",,,,"astro-ph gr-qc",,"  We have studied the evolution of primordial black holes (PBHs) in a universe
with a variable gravitational constant and bulk viscosity. We have found that
the strength of gravity has changed appreciably in the early universe. The
gravitational constant attained its greatest value at t=10^{-23} sec after the
Big Bang. PBHs formed at the GUT and electroweak epochs would have masses about
$1.85\times 10^9 g$ and $1.8\times 10^{-7} g$ respectively. Their temperatures
when they explode are $6\times 10^8K$ and 6 K respectively. PBHs formed during
nuclear epoch are hard to detect at the present time. The gravitational
constant ($G$) is found to increase as $G\propto t^2$ in the radiation epoch.
The gamma rays bursts (GRBs) may have their origin in the evaporation of the
PBHs formed during GUT time.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 22:43:21 GMT""},{""version"":""v2"",""created"":""Mon, 30 Nov 1998 22:59:17 GMT""},{""version"":""v3"",""created"":""Thu, 3 Dec 1998 17:07:32 GMT""},{""version"":""v4"",""created"":""Mon, 14 Jun 1999 16:09:42 GMT""}]","2007-05-23"
"nucl-th/9811098","Santosh Samaddar","B. K. Agrawal, S. K. Samaddar, Tapas Sil and J. N. De","Isotope thermometery in nuclear multifragmentation","uuencoded gzipped file containing 20 pages of text in REVTEX format
  and 12 figures (Postscript files). Physical Review C (in press)","Phys.Rev. C59 (1999) 832-840","10.1103/PhysRevC.59.832",,"nucl-th",,"  A systematic study of the effect of fragment$-$fragment interaction, quantum
statistics, $\gamma$-feeding and collective flow is made in the extraction of
the nuclear temperature from the double ratio of the isotopic yields in the
statistical model of one-step (Prompt) multifragmentation. Temperature is also
extracted from the isotope yield ratios generated in the sequential
binary-decay model. Comparison of the thermodynamic temperature with the
extracted temperatures for different isotope ratios show some anomaly in both
models which is discussed in the context of experimentally measured caloric
curves.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 07:11:19 GMT""}]","2009-10-31"
"nucl-th/9811099","Joern Knoll","J\""orn Knoll, GSI, Darmstadt","Transport Dynamics of Broad Resonances","Talk presented on the Erice School on Nuclear Physics, Erice, Italy,
  Sept. 17 - 25, 1998 to be published in Progress in Particle and Nuclear
  Physics, Vol. 42 (10 pages, 5 eps-figures)","Prog.Part.Nucl.Phys. 42 (1999) 177-186","10.1016/S0146-6410(99)00072-1",,"nucl-th",,"  The propagation of short life time particles with consequently broad mass
width are discussed in the context of transport descriptions. In the first part
some known properties of finite life time particles such as resonances are
reviewed and discussed at the example of the $\rho$-meson. Grave deficiencies
in some of the transport treatment of broad resonances are disclosed and
quantified. The second part addresses the derivation of transport equations
which permit to account for the damping width of the particles. Baym's
$\Phi$-derivable method is used to derive a self-consistent and conserving
scheme, which fulfils detailed balance relations even in the case of particles
with broad mass distributions. For this scheme a conserved energy-momentum
tensor can be constructed. Furthermore, a kinetic entropy can be derived which
besides the standard quasi-particle part also includes contributions from
fluctuations.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 14:41:25 GMT""}]","2009-10-31"
"patt-sol/9812001","Dr. Yuri Kivshar","Takeshi Iizuka and Yuri Kivshar","Optical Gap Solitons in Nonresonant Quadratic Media","3.5 pages, double-column, no figures; submitted to Physical Review E",,"10.1103/PhysRevE.59.7148",,"patt-sol nlin.PS",,"  We demonstrate an important role of the process of optical rectification in
the theory of nonlinear wave propagation in quadratically nonlinear [or
$\chi^{(2)}$ ] periodic optical media. We derive a novel physical model for gap
solitons in $\chi^{(2)}$ nonlinear Bragg gratings.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 03:55:52 GMT""}]","2009-10-31"
"physics/9811051","A. Y. Potekhin","A. Y. Potekhin (1), G. Chabrier (2), Yu. A. Shibanov (1), J. Ventura
  (3) ((1) Ioffe Phys.-Tech. Inst., St.-Petersburg; (2) CRAL, Ecole Normale
  Superieure de Lyon; (3) University of Crete and IESL, FORTH, Heraklion)","Ionization equilibrium and equation of state of hydrogen plasmas in
  strong magnetic fields","4 pages, 1 figure, LaTeX using cpp.sty (included) and epsf.sty. Proc.
  of the Workshop on Nonideal Plasmas PNP-9, Rostock, Germany, 7-11 Sept. 1998.
  To be published in Contrib. Plasma Phys","Contrib. Plasma Physics 39 (1999) 101","10.1002/ctpp.2150390125",,"physics.plasm-ph astro-ph",,"  We study hydrogen plasmas at magnetic fields B ~ 10^{12}-10^{13} Gauss,
densities ~ 10^{-3}-10^3 g/cc and temperatures T ~ 10^{5.5}-10^{6.5} K, typical
of photospheres of middle-aged cooling neutron stars. We construct an
analytical free energy model of the partially ionized plasma, including into
consideration the decentred atomic states, which arise due to the thermal
motion across the strong field. We show that these states, neglected in
previous studies, may contribute appreciably into thermodynamics of the outer
atmospheric layers at density below 1 g/cc and typical B and T. We take into
account Coulomb non-ideality of the ionized component of the plasma affected by
intense magnetic field. Ionization degree, occupancies and equation of state
are calculated, and their dependences on the temperature, density and magnetic
field are studied.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 08:57:30 GMT""}]","2009-10-31"
"physics/9811052","A. Y. Potekhin","D. A. Baiko, A. D. Kaminker, A. Y. Potekhin, D. G. Yakovlev (Ioffe
  Phys.-Tech. Inst., St.-Petersburg)","Ion structure factors and electron transport in dense Coulomb plasmas","4 pages, 2 figures, REVTeX using epsf.sty. Phys. Rev. Lett., in press","Phys.Rev.Lett. 81 (1998) 5556-5559","10.1103/PhysRevLett.81.5556",,"physics.plasm-ph astro-ph",,"  The dynamical structure factor of a Coulomb crystal of ions is calculated at
arbitrary temperature below the melting point taking into account multi-phonon
processes in the harmonic approximation. In a strongly coupled Coulomb ion
liquid, the static structure factor is split into two parts, a
Bragg-diffraction-like one, describing incipient long-range order structures,
and an inelastic part corresponding to thermal ion density fluctuations. It is
assumed that the diffractionlike scattering does not lead to the electron
relaxation in the liquid phase. This assumption, together with the inclusion of
multi-phonon processes in the crystalline phase, eliminates large
discontinuities of the transport coefficients (jumps of the thermal and
electric conductivities, as well as shear viscosity, reported previously) at a
melting point.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 09:29:02 GMT""}]","2007-05-23"
"quant-ph/9811075","Michael Martin Nieto","Michael Martin Nieto and D. Rodney Truax","Time-dependent Schr\""odinger equations having isomorphic symmetry
  algebras. I. Classes of interrelated equations","LaTeX, 18 pages, new format, edited","J.Math.Phys. 41 (2000) 2741-2752","10.1063/1.533268","LA-UR-98-727","quant-ph",,"  In this paper, we focus on a general class of Schr\""odinger equations that
are time-dependent and quadratic in X and P. We transform Schr\""odinger
equations in this class, via a class of time-dependent mass equations, to a
class of solvable time-dependent oscillator equations. This transformation
consists of a unitary transformation and a change in the ``time'' variable. We
derive mathematical constraints forthe transformation and introduce two
examples.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 20:37:33 GMT""},{""version"":""v2"",""created"":""Tue, 9 Nov 1999 13:59:03 GMT""}]","2009-10-31"
"quant-ph/9811076","Michael Martin Nieto","Michael Martin Nieto and D. Rodney Truax","Time-dependent Schr\""odinger equations having isomorphic symmetry
  algebras. II. Symmetry algebras, coherent and squeezed states","LaTeX, 22 pages, new format, edited, with added discussion of the
  classical motion","J.Math.Phys. 41 (2000) 2753-2767","10.1063/1.533269","LA-UR-98-726","quant-ph",,"  Using the transformations from paper I, we show that the Schr\""odinger
equations for: (1)systems described by quadratic Hamiltonians, (2) systems with
time-varying mass, and (3) time-dependent oscillators, all have isomorphic Lie
space-time symmetry algebras. The generators of the symmetry algebras are
obtained explicitly for each case and sets of number-operator states are
constructed. The algebras and the states are used to compute
displacement-operator coherent and squeezed states. Some properties of the
coherent and squeezed states are calculated. The classical motion of these
states is deomonstrated.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 20:42:25 GMT""},{""version"":""v2"",""created"":""Tue, 9 Nov 1999 14:03:09 GMT""}]","2009-10-31"
"quant-ph/9811077","Bg Sidharth","B.G. Sidharth","Quantized Space-Time and Time's Arrow","3 pages, TeX","Chaos Solitons Fractals 11 (2000) 1045","10.1016/S0960-0779(98)00331-2",,"quant-ph gr-qc",,"  Motivated by the latest direct detection of time assymetry in Kaon decay at
CERN and Fermilab, we suggest a theoretical rationale for this puzzle, in terms
of quantized time.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 11:56:51 GMT""}]","2015-06-26"
"quant-ph/9811078","Matteo G. A. Paris","Matteo G. A. Paris (Quantum Optics Group - University of Pavia ITALY)","Entanglement and visibility at the output of a Mach-Zehnder
  interferometer","6 figs, accepted for publication on PRA, see also
  http://enterprise.pv.infn.it/~paris","Phys.Rev. A59 (1999) 1615","10.1103/PhysRevA.59.1615",,"quant-ph",,"  We study the entanglement between the two beams exiting a Mach-Zehnder
interferometer fed by a couple of squeezed-coherent states with arbitrary
squeezing parameter. The quantum correlations at the output are function of the
internal phase-shift of the interferometer, with the output state ranging from
a totally disentangled state to a state whose degree of entanglement is an
increasing function of the input squeezing parameter. A couple of squeezed
vacuum at the input leads to maximum entangled state at the output. The fringes
visibilities resulting from measuring the coincidence counting rate or the
squared difference photocurrent are evaluated and compared each other.
Homodyne-like detection turns out to be preferable in almost all situations,
with the exception of the very low signals regime.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 13:20:46 GMT""}]","2009-10-31"
"quant-ph/9811079","Nikolay Vitanov","N. V. Vitanov, K.-A. Suominen, and B. W. Shore","Creation of coherent atomic superpositions by fractional STIRAP","8 pages, two-column revtex style, 4 figures; paper copies with better
  quality figures available upon request from the authors",,,,"quant-ph",,"  We discuss a simple scheme for preparing atoms and molecules in an arbitrary
preselected coherent superposition of quantum states. The technique, which we
call fractional stimulated Raman adiabatic passage ({\it f-STIRAP}), is based
upon (incomplete) adiabatic population transfer between an initial state
$\psi_1$ and state $\psi_3$ through an intermediate state $\psi_2$. As in
STIRAP, the Stokes pulse arrives before the pump pulse, but unlike STIRAP, the
two pulses terminate simultaneously while maintaining a constant ratio of
amplitudes. The independence of f-STIRAP from details of pulse shape and pulse
area makes it the analog of conventional STIRAP in the creation of coherent
superpositions of states. We suggest a smooth realization of f-STIRAP which
requires only two laser pulses (which can be derived from a single laser) and
at the same time ensures the automatic fulfillment of the asymptotic conditions
at early and late times. Furthermore, we provide simple analytic estimates of
the robustness of f-STIRAP against variations in the pulse intensity, the pulse
delay, and the intermediate-state detuning, and discuss its possible extension
to multistate systems.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 14:31:28 GMT""}]","2007-05-23"
"solv-int/9812001","Red Hat Linux User","Andrey Tsiganov","Duality between integrable Stackel systems","LaTeX2e, 18 pages","J. Phys. A, Math. Gen. 32, No.45, 7965-7982, (1999)","10.1088/0305-4470/32/45/311",,"solv-int nlin.SI",,"  For the Stackel family of the integrable systems a non-canonical
transformation of the time variable is considered. This transformation may be
associated to the ambiguity of the Abel map on the corresponding hyperelliptic
curve. For some Stackel's systems with two degrees of freedom the 2x2 Lax
representations and the dynamical r-matrix algebras are constructed. As an
examples the Henon-Heiles systems, integrable Holt potentials and the
integrable deformations of the Kepler problem are discussed in detail.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 09:09:38 GMT""}]","2009-10-31"
