"adap-org/9809003","Sandeep Krishna","Sanjay Jain and Sandeep Krishna (Indian Institute of Science,
  Bangalore)","Autocatalytic Sets and the Growth of Complexity in an Evolutionary Model","13 pages REVTEX (including figures), 4 Postscript figures",,"10.1103/PhysRevLett.81.5684","IISc-CTS/9/98","adap-org cond-mat nlin.AO",,"  A model of $s$ interacting species is considered with two types of dynamical
variables. The fast variables are the populations of the species and slow
variables the links of a directed graph that defines the catalytic interactions
among them. The graph evolves via mutations of the least fit species. Starting
from a sparse random graph, we find that an autocatalytic set (ACS) inevitably
appears and triggers a cascade of exponentially increasing connectivity until
it spans the whole graph. The connectivity subsequently saturates in a
statistical steady state. The time scales for the appearance of an ACS in the
graph and its growth have a power law dependence on $s$ and the catalytic
probability. At the end of the growth period the network is highly non-random,
being localized on an exponentially small region of graph space for large $s$.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 05:02:32 GMT""}]","2009-10-30"
"hep-th/9809122","Jeffrey Harvey","Atish Dabholkar and Jeffrey A. Harvey","String Islands","An erroneous example removed. We thank Massimo Bianchi and Cumrun
  Vafa for pointing out this error","JHEP 9902 (1999) 006","10.1088/1126-6708/1999/02/006","EFI-98-34, TIFR/TH/98-30","hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We discuss string theories with small numbers of non-compact moduli and
describe constructions of string theories whose low-energy limit is described
by various pure supergravity theories. We also construct a D=4,N=4
compactification of type II string theory with 34 vector fields.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 20:27:57 GMT""},{""version"":""v2"",""created"":""Thu, 10 Dec 1998 19:33:53 GMT""},{""version"":""v3"",""created"":""Thu, 9 Jul 2020 13:38:34 GMT""}]","2020-07-10"
"hep-th/9809123","Marty Stock","R. Jackiw and A.P. Polychronakos","Dynamical Poincare Symmetry Realized by Field-dependent Diffeomorphisms","Contribution to Faddeev Festschrift, Steklov Mathematical Institute
  Proceedings; REVTeX, BoxedEPS.tex, 5 figures, 21 pages; email to
  jackiw@mitlns.mit.edu",,,"MIT-CTP-2773","hep-th",,"  We present several Galileo invariant Lagrangians, which are invariant against
Poincare transformations defined in one higher (spatial) dimension. Thus these
models, which arise in a variety of physical situations, provide a
representation for a dynamical (hidden) Poincare symmetry. The action of this
symmetry transformation on the dynamical variables is nonlinear, and in one
case involves a peculiar field-dependent diffeomorphism. Some of our models are
completely integrable, and we exhibit explicit solutions.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 20:37:14 GMT""}]","2007-05-23"
"hep-th/9809124","Nima Arkani Hamed","Nima Arkani-Hamed, Savas Dimopoulos and John March-Russell","Stabilization of Sub-Millimeter Dimensions: The New Guise of the
  Hierarchy Problem","Corrected referencing to important earlier work by Sundrum, errors
  fixed, additional discussion on radion phenomenology, conclusions unchanged,
  23 pages, LaTeX","Phys.Rev. D63 (2001) 064020","10.1103/PhysRevD.63.064020","SLAC-PUB-7949, CERN-TH/98-297, SU-ITP-98/54","hep-th",,"  A new framework for solving the hierarchy problem was recently proposed which
does not rely on low energy supersymmetry or technicolor. The fundamental
Planck mass is at a $\tev$ and the observed weakness of gravity at long
distances is due the existence of new sub-millimeter spatial dimensions. In
this picture the standard model fields are localized to a $(3+1)$-dimensional
wall or ``3-brane''. The hierarchy problem becomes isomorphic to the problem of
the largeness of the extra dimensions. This is in turn inextricably linked to
the cosmological constant problem, suggesting the possibility of a common
solution. The radii of the extra dimensions must be prevented from both
expanding to too great a size, and collapsing to the fundamental Planck length
$\tev^{-1}$. In this paper we propose a number of mechanisms addressing this
question. We argue that a positive bulk cosmological constant $\bar\Lambda$ can
stabilize the internal manifold against expansion, and that the value of
$\bar\Lambda$ is not unstable to radiative corrections provided that the
supersymmetries of string theory are broken by dynamics on our 3-brane. We
further argue that the extra dimensions can be stabilized against collapse in a
phenomenologically successful way by either of two methods: 1) Large,
topologically conserved quantum numbers associated with higher-form bulk U(1)
gauge fields, such as the naturally occurring Ramond-Ramond gauge fields, or
the winding number of bulk scalar fields. 2) The brane-lattice-crystallization
of a large number of 3-branes in the bulk. These mechanisms are consistent with
theoretical, laboratory, and cosmological considerations such as the absence of
large time variations in Newton's constant during and after primordial
nucleosynthesis, and millimeter-scale tests of gravity.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 23:59:57 GMT""},{""version"":""v2"",""created"":""Wed, 7 Oct 1998 21:38:40 GMT""}]","2009-10-31"
"hep-th/9809125","Marco Matone","Alon E. Faraggi and Marco Matone","Equivalence Principle, Planck Length and Quantum Hamilton-Jacobi
  Equation","1+7 pages, LaTeX. Typos corrected, to appear in Phys. Lett. B","Phys.Lett. B445 (1998) 77-81","10.1016/S0370-2693(98)01484-1","UMN-TH-1722-98-TPI-MINN-98/19, DFPD97/TH/51","hep-th gr-qc hep-ph math-ph math.MP nlin.SI quant-ph solv-int",,"  The Quantum Stationary HJ Equation (QSHJE) that we derived from the
equivalence principle, gives rise to initial conditions which cannot be seen in
the Schroedinger equation. Existence of the classical limit leads to a
dependence of the integration constant $\ell=\ell_1+i\ell_2$ on the Planck
length. Solutions of the QSHJE provide a trajectory representation of quantum
mechanics which, unlike Bohm's theory, has a non-trivial action even for bound
states and no wave guide is present. The quantum potential turns out to be an
intrinsic potential energy of the particle which, similarly to the relativistic
rest energy, is never vanishing.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 15:59:08 GMT""},{""version"":""v2"",""created"":""Tue, 29 Sep 1998 21:59:55 GMT""},{""version"":""v3"",""created"":""Fri, 20 Nov 1998 15:38:33 GMT""}]","2009-10-31"
"hep-th/9809126","Marco Matone","Alon E. Faraggi and Marco Matone","Equivalence Principle: Tunnelling, Quantized Spectra and Trajectories
  from the Quantum HJ Equation","1+10 pages, LaTeX. Typos corrected, to appear in Phys. Lett. B","Phys.Lett. B445 (1999) 357-365","10.1016/S0370-2693(98)01485-3","UMN-TH-1721-98-TPI-MINN-98/18, DFPD97/TH/58","hep-th gr-qc hep-ph math-ph math.MP nlin.SI quant-ph solv-int",,"  A basic aspect of the recently proposed approach to quantum mechanics is that
no use of any axiomatic interpretation of the wave function is made. In
particular, the quantum potential turns out to be an intrinsic potential energy
of the particle, which, similarly to the relativistic rest energy, is never
vanishing. This is related to the tunnel effect, a consequence of the fact that
the conjugate momentum field is real even in the classically forbidden regions.
The quantum stationary Hamilton-Jacobi equation is defined only if the ratio
psi^D/psi of two real linearly independent solutions of the Schroedinger
equation, and therefore of the trivializing map, is a local homeomorphism of
the extended real line into itself, a consequence of the Moebius symmetry of
the Schwarzian derivative. In this respect we prove a basic theorem relating
the request of continuity at spatial infinity of psi^D/psi, a consequence of
the q - 1/q duality of the Schwarzian derivative, to the existence of L^2(R)
solutions of the corresponding Schroedinger equation. As a result, while in the
conventional approach one needs the Schroedinger equation with the L^2(R)
condition, consequence of the axiomatic interpretation of the wave function,
the equivalence principle by itself implies a dynamical equation that does not
need any assumption and reproduces both the tunnel effect and energy
quantization.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 15:59:32 GMT""},{""version"":""v2"",""created"":""Fri, 20 Nov 1998 15:45:47 GMT""}]","2009-10-31"
"hep-th/9809127","Marco Matone","Alon E. Faraggi and Marco Matone","The Equivalence Postulate of Quantum Mechanics","1+3+140 pages, LaTeX. Invariance of the wave-function under the
  action of SL(2,R) subgroups acting on the reduced action explicitly reveals
  that the wave-function describes only equivalence classes of Planck length
  deterministic physics. New derivation of the Schwarzian derivative from the
  cocycle condition. ""Legendre brackets"" introduced to further make ""Legendre
  duality"" manifest. Introduction now contains examples and provides a short
  pedagogical review. Clarifications, conclusions, ackn. and references added","Int.J.Mod.Phys.A15:1869-2017,2000","10.1142/S0217751X00000811","UMN-TH-1720-98-TPI-MINN-98/15, UFIFT-HEP-97-18, DFPD98/TH/41","hep-th gr-qc hep-ph math-ph math.MP nlin.SI quant-ph solv-int",,"  The Equivalence Principle (EP), stating that all physical systems are
connected by a coordinate transformation to the free one with vanishing energy,
univocally leads to the Quantum Stationary HJ Equation (QSHJE). Trajectories
depend on the Planck length through hidden variables which arise as initial
conditions. The formulation has manifest p-q duality, a consequence of the
involutive nature of the Legendre transform and of its recently observed
relation with second-order linear differential equations. This reflects in an
intrinsic psi^D-psi duality between linearly independent solutions of the
Schroedinger equation. Unlike Bohm's theory, there is a non-trivial action even
for bound states. No use of any axiomatic interpretation of the wave-function
is made. Tunnelling is a direct consequence of the quantum potential which
differs from the usual one and plays the role of particle's self-energy. The
QSHJE is defined only if the ratio psi^D/psi is a local self-homeomorphism of
the extended real line. This is an important feature as the L^2 condition,
which in the usual formulation is a consequence of the axiomatic interpretation
of the wave-function, directly follows as a basic theorem which only uses the
geometrical gluing conditions of psi^D/psi at q=\pm\infty as implied by the EP.
As a result, the EP itself implies a dynamical equation that does not require
any further assumption and reproduces both tunnelling and energy quantization.
Several features of the formulation show how the Copenhagen interpretation
hides the underlying nature of QM. Finally, the non-stationary higher
dimensional quantum HJ equation and the relativistic extension are derived.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 15:36:29 GMT""},{""version"":""v2"",""created"":""Fri, 6 Aug 1999 21:57:37 GMT""}]","2014-11-18"
"hep-th/9809128","J. Bijtebier","J. Bijtebier","3D reduction of the three-fermion Bethe-Salpeter equation","Contribution to the XVIth European Conference on Few-body Problems in
  Physics AUTRANS (France) June 1-6 1998. 4pp in LaTex","Few Body Syst.Suppl.10:127-130,1999",,"VUB/TENA/98/02","hep-th nucl-th",,"  We present a 3D approximation of the three-fermion Bethe-Salpeter equation.
Our 3D equation is covariantly cluster separable and the two-fermion cluster
separated limits are exact equivalents of the corresponding two-fermion
Bethe-Salpeter equations. The potentials include positive free energy
projectors in order to avoid continuum dissolution.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 08:00:16 GMT""}]","2011-04-15"
"hep-th/9809129","Tomasz Radozycki","Tomasz Radozycki and Jozef M. Namyslowski","Four-point Green functions in the Schwinger Model","In Revtex, 12 pages + 2 PostScript figures","Phys.Rev. D59 (1999) 065010","10.1103/PhysRevD.59.065010",,"hep-th",,"  The evaluation of the 4-point Green functions in the 1+1 Schwinger model is
presented both in momentum and coordinate space representations. The crucial
role in our calculations play two Ward identities: i) the standard one, and ii)
the chiral one. We demonstrate how the infinite set of Dyson-Schwinger
equations is simplified, and is so reduced, that a given n-point Green function
is expressed only through itself and lower ones. For the 4-point Green
function, with two bosonic and two fermionic external `legs', a compact
solution is given both in momentum and coordinate space representations. For
the 4-fermion Green function a selfconsistent equation is written down in the
momentum representation and a concrete solution is given in the coordinate
space. This exact solution is further analyzed and we show that it contains a
pole corresponding to the Schwinger boson. All detailed considerations given
for various 4-point Green functions are easily generizable to higher functions.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 11:34:10 GMT""}]","2009-10-31"
"hep-th/9809130","Pierre Vanhove","Ivan K. Kostov (CERN) and Pierre Vanhove (DAMTP, UK)","Matrix String Partition Functions","harvmac (b), 15 pages. v2 Cosmetic changes in the text and references
  added","Phys.Lett.B444:196-203,1998","10.1016/S0370-2693(98)01381-1","CERN-TH/98-280, CPTH-S587.1297, DAMTP-1998-119, SPHT/98/097","hep-th",,"  We evaluate quasi-classically the Ramond partition function of Euclidean D=10
U(N) super-Yang--Mills theory reduced to a two-dimensional torus. The result
can be interpreted in terms of free strings wrapping the space-time torus, as
expected from the point of view of Matrix string theory. We demonstrate that,
when extrapolated to the ultraviolet limit (small area of the torus), the
quasi-classical expressions reproduce exactly the recently obtained expression
for the partition of the completely reduced SYM theory, including the overall
numerical factor. This is an evidence that our quasi-classical calculation
might be exact.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 13:27:00 GMT""},{""version"":""v2"",""created"":""Mon, 28 Sep 1998 10:58:10 GMT""}]","2014-11-18"
"hep-th/9809131","J. Bijtebier","J. Bijtebier","A three-fermion Salpeter equation","17 pages in LaTex. Submitted to Few-Body systems",,,"VUB/TENA/98/02","hep-th nucl-th",,"  We write a 3D equation for three fermions by combining the three two-body
potentials obtained by the reductions of the corresponding two-fermion
Bethe-Salpeter equations to equivalent 3D equations, putting the spectator
fermion on the mass shell. In this way, the cluster-separated limits are still
exact, and the Lorentz invariance / cluster separability requirement is
automatically satisfied, provided no supplementary approximation, like the Born
approximation, is made. The use of positive free-energy projectors in the
chosen reductions of the two-fermion Bethe-Salpeter equations prevents
continuum dissolution in our 3D three-fermion equation. The potentials are
hermitian and depend only slowly on the total three-fermion energy. The one
high-mass limits are approximately exact. In view of a possible perturbation
calculation, correcting the remaining discrepancies with the three-fermion
Bethe-Salpeter equation, we succeeded in deriving our 3D equation from an
approximation of the three-fermion Bethe-Salpeter equation, in which the
three-body kernel is neglected and the two-body kernels approached by
positive-energy instantaneous expressions, with the spectator fermion on the
mass shell. The neglected terms are transformed into corrections to the 3D
equation. A comparison is made with Gross' spectator model.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 14:23:31 GMT""}]","2007-05-23"
"hep-th/9809132","Won Sik l'Yi","W. S. l'Yi","Generating functionals of correlation functions of p-form currents in
  AdS/CFT correspondence","1 + 12 pages(LaTeX). Ward identity problem clearfied with enlarged
  references",,"10.1016/S0370-2693(98)01457-9",,"hep-th",,"  The generating functional of correlation functions of the currents
corresponding to general massless $p$-form potential is calculated in $AdS/CFT$
correspondence of Maldacena. For this we construct the boundary-to-bulk Green's
functions of $p$-form potentials. The proportional constant of the
current-current correlation function, which is related to the central charge of
the operator product expansion, is shown to be $c=(d-p\over 2\pi^{d/2}) (\Gamma
(d-p) \over \Gamma ({d\over 2}-p)).$ The result agrees with the known cases
such as $p=1$ or 2.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 15:41:57 GMT""},{""version"":""v2"",""created"":""Thu, 1 Oct 1998 13:23:59 GMT""}]","2016-09-06"
"math/9809087","Michael Kleber","Michael Kleber","Finite Dimensional Representations of Quantum Affine Algebras","LaTeX, 55 pages, requires Paul Taylor's macro package diagrams.tex.
  Ph.D. dissertation at University of Californial Berkeley",,,,"math.QA math.CO math.RT",,"  We investigate the characters of some finite-dimensional representations of
the quantum affine algebras $U_q(\hat{g})$ using the action of the copy of
$U_q(g)$ embedded in it.
  First, we present an efficient algorithm for computing the
Kirillov-Reshetikhin conjectured formula for these characters when $g$ is
simply-laced. This replaces the original formulation, in terms of ""rigged
configurations"", with one based on polygonal paths in the Weyl chamber. It also
gives a new algorithm for decomposing a tensor product of any number of
representations of $sl(n)$ corresponding to rectangular Young diagrams, in a
way symmetric in all the factors. This section is an expanded version of
q-alg/9611032 .
  Second, we study a generalization of certain remarkable quadratic relations
that hold among characters of $sl(n)$ (the ""discrete Hirota relations"") whose
solutions seem to be characters of quantum affine algebras. We use show that
these relations have a unique solution over characters of $U_q(g)$.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 16:11:55 GMT""}]","2007-05-23"
"math/9809088","Estelle Basor","Estelle L. Basor and Torsten Ehrhardt","Asymptotic formulas for determinants of a sum of finite Toeplitz and
  Hankel matrices",,,,,"math.FA math.CA",,"  The purpose of this paper is to describe asymptotic formulas for determinants
of a sum of finite Toeplitz and Hankel matrices with singular generating
functions. The formulas are similar to those of the analogous problem for
finite Toeplitz matrices for a certain class of symbols. However, the
appearance of the Hankel matrices changes the nature of the asymptotics in some
instances depending on the location of the singularities. Several concrete
examples are also described in the paper.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 20:56:50 GMT""}]","2007-05-23"
"math/9809089","Soren Eilers","Marius Dadarlat and Soren Eilers","On the classification of nuclear C*-algebras",,,,,"math.OA",,"  The mid-seventies' works on C*-algebras of Brown-Douglas-Fillmore and Elliott
both contained uniqueness and existence results in a now standard sense. These
papers served as keystones for two separate theories -- KK-theory and the
classification program -- which for many years parted ways with only moderate
interaction. But recent years have seen a fruitful interaction which has been
one of the main engines behind rapid progress in the classification program.
  In the present paper we take this interaction even further. We prove general
existence and uniqueness results using KK-theory and a concept of
quasidiagonality for representations. These results are employed to obtain new
classification results for certain classes of quasidiagonal C*-algebras
introduced by H. Lin. An important novel feature of these classes is that they
are defined by a certain local approximation property, rather than by an
inductive limit construction.
  Our existence and uniqueness results are in the spirit of classical
Ext-theory. The main complication overcome in the paper is to control the
stabilization which is necessary when one works with finite C*-algebras. In the
infinite case, where programs of this type have already been successfully
carried out, stabilization is unnecessary. Yet, our methods are sufficiently
versatile to allow us to reprove, from a handful of basic results, the
classification of purely infinite nuclear C*-algebras of Kirchberg and
Phillips.
  Indeed, it is our hope that this can be the starting point of a unified
approach to classification of nuclear C*-algebras.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 22:06:16 GMT""}]","2007-05-23"
"math/9809090","Boris Botvinnik","N. V. Kuznetsov","The true order of the riemann zeta--function","89 pages",,,,"math.NT math-ph math.CA math.MP",,"  For the Riemann zeta-function on the critical line the terminal estimate have
been proved, which had been conjectured by Lindel\""of at the beginning of this
Centure. The proof is based on the authors relations which connect the bilinear
forms of the eigenvalues of the Hecke operators with sums of the Kloosterman
sums. By the way, it is proved that for the Hecke series (which are associated
with the eigenfunctions of the automorphic Laplacian) the natural analogue of
the Lindel\""of conjecture is true also. \noindent Bibl. 14.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 01:00:03 GMT""}]","2009-09-25"
"math/9809091","Yujiro Kawamata","Yujiro Kawamata","On the extension problem of pluricanonical forms","18 pages",,,,"math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We review some recent development on the extension problem of pluricanonical
forms from a divisor to the ambient space in [Si], [K5] and [N3] with
simplified proofs. A section for a correction is added.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 06:51:40 GMT""},{""version"":""v2"",""created"":""Mon, 3 Feb 2020 10:56:51 GMT""}]","2020-02-04"
"math/9809092","Jonathan Fine","Jonathan Fine","Graphs, flags and partitions","12 pages, LaTeX 2e, no figures",,,,"math.CO",,"  This paper defines, for each graph $G$, a flag vector $fG$. The flag vectors
of the graphs on $n$ vertices span a space whose dimension is $p(n)$, the
number of partitions on $n$. The analogy with convex polytopes indicates that
the linear inequalities satisfied by $fG$ may be both interesting and
accessible. Such would provide inequalities both sharp and subtle on the
combinatorial structure of $G$. These may be related to Ramsey theory.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 09:35:05 GMT""}]","2007-05-23"
"math/9809093","Alexander Motovilov","R. Mennicken, A. K. Motovilov","Operator interpretation of resonances generated by some operator
  matrices","LaTeX, 15 pages, no figures; Contribution to Proceedings of the Mark
  Krein International Conference on Operator Theory and Applications, Odessa,
  August 18-22, 1997","Oper.Theor.Advan.Appl. 118 (2000) 287-302","10.1007/BF02557129",,"math.SP hep-ph nucl-th",,"  We consider the analytic continuation of the transfer function for a 2x2
matrix Hamiltonian into the unphysical sheets of the energy Riemann surface. We
construct a family of non-selfadjoint operators which reproduce certain parts
of the transfer-function spectrum including resonances situated on the
unphysical sheets neighboring the physical sheet. On this basis, completeness
and basis properties for the root vectors of the transfer function (including
those for the resonances) are proved.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 13:03:32 GMT""}]","2009-10-31"
"math/9809094","Lev A. Borisov","Lev A. Borisov","Vertex Algebras and Mirror Symmetry","45 pages, Latex","Commun.Math.Phys. 215 (2001) 517-557","10.1007/s002200000312",,"math.AG",,"  Mirror Symmetry for Calabi-Yau hypersurfaces in toric varieties is by now
well established. However, previous approaches to it did not uncover the
underlying reason for mirror varieties to be mirror. We are able to calculate
explicitly vertex algebras that correspond to holomorphic parts of A and B
models of Calabi-Yau hypersurfaces and complete intersections in toric
varieties. We establish the relation between these vertex algebras for mirror
Calabi-Yau manifolds. This should eventually allow us to rewrite the whole
story of toric Mirror Symmetry in the language of sheaves of vertex algebras.
Our approach is purely algebraic and involves simple techniques from toric
geometry and homological algebra, as well as some basic results of the theory
of vertex algebras. Ideas of this paper may also be useful in other problems
related to maps from curves to algebraic varieties. This paper could also be of
interest to physicists, because it contains explicit descriptions of A and B
models of Calabi-Yau hypersurfaces and complete intersection in terms of free
bosons and fermions.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 15:45:40 GMT""},{""version"":""v2"",""created"":""Mon, 22 Feb 1999 23:59:01 GMT""}]","2009-10-31"
"math/9809203","Donald Dawson","Donald Dawson (Fields Institute), Shui Feng (McMaster University)","Large deviations for the Fleming-Viot process with neutral mutation and
  selection",,,,"FI-NP1998-005","math.PR q-bio",,"  Large deviation principles are established for the Fleming-Viot processes
with neutral mutation and selection, and the corresponding equilibrium measures
as the sampling rate goes to 0. All results are first proved for the finite
allele model, and then generalized, through the projective limit technique, to
the infinite allele model. Explicit expressions are obtained for the rate
functions.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 00:00:00 GMT""}]","2016-09-07"
"math/9809211","Alexander Schmidt","Alexander Schmidt, Kay Wingberg","Safarevic's theorem on solvable groups as Galois groups",,,,"ANT-0136","math.NT",,"  In this paper we present a complete proof of I.R.Safarevic's famous theorem
that every finite solvable group occurs as a Galois group over Q.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 00:00:00 GMT""}]","2007-05-23"
"math/9809212","Li Guo","Li Guo","Congruences between Selmer groups",,,,"ANT-0138","math.NT",,"  In this paper we study when two congruent $l$-adic Galois representations
have congruent Selmer groups. We obtain results for representations from
cyclotomic characters, Hecke characters and adjoints of modular forms.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 00:00:00 GMT""}]","2007-05-23"
"nucl-th/9809053",,"A. Parre\~no, A. Ramos, N.G. Kelkar and C. Bennhold","The $np \to \Lambda p$ reaction within a one-meson-exchange model","4 pages, 3 figures. Talk presented at the Conference on ""Mesons and
  Light Nuclei"", Prague-Pruhonice, Aug. 31 - Sep. 4 (1998)",,,,"nucl-th",,"  With the advent of high precision proton accelerators, such as COSY in
J\""ulich, or with medium energy accelerators like RCNP at Osaka, it may become
possible to perform a direct study of the strangeness changing hadronic $np \to
\Lambda p$ process. In this work we study this reaction using a
one-meson-exchange weak potential and realistic $NN$ and $YN$ strong
interactions to distort both the initial $np$ and the final $\Lambda p$ states.
The calculated cross sections are very sensitive to the different mesons
included in the weak transition, as well as to the strong $YN$ interaction
model that generates the distorted final state.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 07:36:00 GMT""}]","2007-05-23"
"nucl-th/9809054",,"A. I. L'vov (Lebedev Inst.)","Production and decay of eta-mesic nuclei","4 pages, 1 eps figure, latex, sprocl.sty. Talk at the Conference
  ""Mesons and Light Nuclei"", Prague-Pruhonice, August 31-September 4, 1998; to
  be published in Proceedings of the Conference",,,,"nucl-th",,"  Using the Green function method, binding effects on produced eta-mesons in
the two-stage reaction \gamma + A \to N + \eta + (A-1) \to N + (\pi N) + (A-2)
are studied. The energy spectrum of the correlated pi-N pairs which arise from
decays of etas inside the nucleus is strongly affected by an attractive
eta-nucleus optical potential. Its resonant behavior gives a clear signal of
formating intermediate eta-mesic nuclei.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 08:19:49 GMT""}]","2007-05-23"
"nucl-th/9809055","Giampaolo Co","Giampaolo Co' (Lecce) and Antonio M. Lallena (Granada)","Tensor interaction in Hartree--Fock calculations","13 pages, 2 Postscript figures, to be published in Nuovo Cimento","NuovoCim.A111:527-538,1998","10.1007/BF03185586","LE-FI-TH-2-9-98","nucl-th",,"  The contribution of the tensor interaction in Hartree-Fock calculations for
closed shell nuclei is studied. The investigation is done neglecting the
spin-orbit component of the force. As expected from nuclear matter estimates we
find that the effect of the tensor interaction is negligible in the case of
spin-isospin saturated nuclei and also for medium and heavy nuclei with closed
shells. In light nuclei with only one of the two spin- orbit partners filled,
such as 12C and 14C, the tensor interaction plays an important role.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 08:28:10 GMT""}]","2022-03-02"
"nucl-th/9809056","Elena Bratkovskaya","E. L. Bratkovskaya (Giessen U.) and C. M. Ko (Texas A&M U.)","Low-mass dileptons and dropping rho meson mass","9 pages, LaTeX, including 1 postscript figure, to appear in Phys.
  Lett. B","Phys.Lett. B445 (1999) 265-270","10.1016/S0370-2693(98)01500-7",,"nucl-th",,"  Using the transport model, we have studied dilepton production from heavy-ion
collisions at Bevalac energies. It is found that the enhanced production of
low-mass dileptons observed in the experiment by the DLS collaboration cannot
be explained by the dropping of hadron masses, in particular the $\rho$-meson
mass, in dense matter.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 13:19:23 GMT""},{""version"":""v2"",""created"":""Wed, 2 Dec 1998 20:39:30 GMT""}]","2009-10-31"
"nucl-th/9809057",,"Abhijit Bhattacharyya, Sanjay K. Ghosh and Sibaji Raha","Pion and Kaon dissociation in hot quark medium","Latex file with one postscript file","Mod.Phys.Lett. A14 (1999) 621-630","10.1142/S0217732399000675",,"nucl-th",,"  Pion and kaon dissociation in a medium of hot quark matter is studied in the
Nambu Jona-Lasinio model. The decay width of pion and kaon are found to be
large but finite at temperatures much higher than the so called critical
temperature of chiral or deconfinement transition, kaon decay width being
larger. Consequently, pions and even kaons (with a lower density compared to
pions) should coexist with quarks and gluons at such high temperatures. The
implication of the above result in the study of Quark-Gluon plasma is
discussed.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 15:48:00 GMT""}]","2015-06-26"
"physics/9809024","P. J. Morrison","N. J. Balmforth and P. J. Morrison","A necessary and sufficient instability condition for inviscid shear flow","Latex, 28 pages, 9 figures. Accepted by Studies in Applied
  Mathematics",,,"IFSR 808","physics.flu-dyn",,"  The linear stability of inviscid, incompressible, two-dimensional, plane
parallel, shear flow was considered over a century ago by Rayleigh, Kelvin, and
others. A principal result on the subject is Rayleigh's celebrated inflection
point theorem {R80}, which states that for an equilibrium flow to be unstable,
the equilibrium velocity profile must contain an inflection point. That is, if
the velocity profile is given by $U(y)$, where $y$ is the cross-stream
coordinate, then there must be a point, $y=y_I$, for which $U''(y_I)=0$. Much
later, in 1950, Fj{\o}rtoft {F50} generalized the theorem by showing that,
moreover, if there is one inflection point, then $U'''(y_I)/U'(y_I)<0$ is
required for instability (see {Bar} for further extensions). Both Rayleigh's
Theorem and Fj{\o}rtoft's subsequent generalization are necessary conditions
for instability, but they are not sufficient. That is, even though an
equilibrium profile may contain a vorticity minimum, it is not necessarily
unstable. The point of this paper is to derive, for a large class of
equilibrium velocity profiles, a condition that is necessary and sufficient for
instability.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 00:08:48 GMT""}]","2016-09-08"
"physics/9809025","Svozil Karl","Karl Svozil","Relativizing relativity","14 pages with 3 figures, Latex, Talk given at the workshop
  Superluminal (?) Velocities, Cologne, June6-10, 1998. Revised version","Foundations of Physics 30(7), 1001-1016 (2000)",,,"physics.class-ph astro-ph quant-ph",,"  Special relativity theory is generalized to two or more ``maximal''
signalling speeds. This framework is discussed in three contexts: (i) as a
scenario for superluminal signalling and motion, (ii) as the possibility of two
or more ``light'' cones due to the a ``birefringent'' vaccum, and (iii) as a
further extension of conventionality beyond synchrony.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 08:54:22 GMT""},{""version"":""v2"",""created"":""Wed, 10 Nov 1999 08:25:51 GMT""},{""version"":""v3"",""created"":""Fri, 12 Nov 1999 09:00:17 GMT""}]","2007-05-23"
