"adap-org/9809002","Sergey Gavrilets","Sergey Gavrilets","Dynamics of clade diversification on the morphological hypercube","8 pages, Latex, 2 postscript figures, submitted to Proc.R.Soc.Lond.B",,,,"adap-org nlin.AO q-bio",,"  Understanding the relationship between taxonomic and morphological changes is
important in identifying the reasons for accelerated morphological
diversification early in the history of animal phyla. Here, a simple general
model describing the joint dynamics of taxonomic diversity and morphological
disparity is presented and applied to the data on the diversification of
blastozoans. I show that the observed patterns of deceleration in clade
diversification can be explicable in terms of the geometric structure of the
morphospace and the effects of extinction and speciation on morphological
disparity without invoking major declines in the size of morphological
transitions or taxonomic turnover rates. The model allows testing of hypotheses
about patterns of diversification and estimation of rates of morphological
evolution. In the case of blastozoans, I find no evidence that major changes in
evolutionary rates and mechanisms are responsible for the deceleration of
morphological diversification seen during the period of this clade's expansion.
At the same time, there is evidence for a moderate decline in overall rates of
morphological diversification concordant with a major change (from positive to
negative values) in the clade's growth rate.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 16:20:56 GMT""}]","2007-05-23"
"math/9809084","Bogdan Ion","S. Caenepeel, B. Ion, G. Militaru","The structure of Frobenius algebras and separable algebras","34 pages",,,,"math.QA math.RA",,"  We present a unified apoach to the study of separable and Frobenius algebras.
The crucial observation is thsat both cases are related to the nonlinear
equation $R^{12}R^{23}=R^{23}R^{13}=R^{13}R^{12}$, called the FS-equation.
Given a solution of the FS-equation satisfying certain normalizing conditions,
we can construct a Frobenius algebra or a separable algebra A(R). The main
result of this paper in the structure of this two fundamental types of
algebras: a finitely generated projective Frobenius or separable $k$-algebra
$A$ is isomorphic to such A(R). If $A$ is free as a $k$-module, then A(R) can
be described using generators and relations. A new characterisation of
Frobenius extensions is given: $B\subset A$ is Frobenius if and only if $A$ has
a $B$-coring structure such that the comultiplication $\Delta$ is an
$A$-bimodule map.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 14:30:50 GMT""},{""version"":""v2"",""created"":""Thu, 4 Feb 1999 19:14:18 GMT""},{""version"":""v3"",""created"":""Tue, 28 Sep 1999 17:36:23 GMT""}]","2009-09-25"
"math/9809085","J. F. Feinstein","J. F. Feinstein and D. W. B. Somerset","A note on ideal spaces of Banach Algebras","9 pages plain tex",,,,"math.FA",,"  In a previous paper the second author introduced a compact topology on the
space of closed ideals of a unital Banach algebra A. If A is separable then
this topology is either metrizable or else neither Hausdorff nor first
countable. Here it is shown that this topology is Hausdorff if A is the algebra
of once continuously differentiable functions on an interval, but that if A is
a uniform algebra then this topology is Hausdorff if and only if A has spectral
synthesis. An example is given of a strongly regular, uniform algebra for which
every maximal ideal has a bounded approximate identity, but which does not have
spectral synthesis.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 15:02:53 GMT""}]","2007-05-23"
"math/9809086","Piotr M. Hajac","Piotr M. Hajac","Algebraic $K_0$ of the Quantum Sphere and Noncommutative Index Theorem","AMS-LaTeX, 8 pages",,,,"math.KT math.QA",,"  The Noncommutative Index Theorem is used to prove that the Chern character of
quantum Hopf line bundles over the standard Podles quantum sphere equals the
winding number of the representations defining these bundles. This result gives
an estimate of the positive cone of the algebraic $K_0$ of the standard quantum
sphere.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 15:47:30 GMT""}]","2007-05-23"
"nucl-th/9809048","J. M. Udias","J. A. Caballero (1 and 2), T. W. Donnelly (3), E. Moya de Guerra (2)
  and J. M. Udias (4) ((1) Universidad de Sevilla (Spain), (2) IEM-CSIC Madrid
  Spain, (3) Center for Theoretical Physics MIT (USA), (4) Universidad
  Complutense, Madrid (Spain))","Relativistic current densities for bound spin-orbit partners and the
  longitudinal-transverse response in (e,e'p) processes","Uses epsfig.sty, 18 pages, 7 figures. To be published in Nuc. Phys. A","Nucl.Phys. A643 (1998) 189-204","10.1016/S0375-9474(98)00486-2","MIT-CTP #2764, FN-IEM 10/98","nucl-th",,"  Scalar, baryon and vector--current densities in coordinate and momentum space
are calculated within a relativistic mean--field model. The role of the low
components of the bound nucleon wave function is investigated in detail for
different spin--orbit partner shells. We show that the relative importance of
the negative--energy projection components can be explained from the different
quantum numbers involved in the relativistic wave function. This fact has
proved to be important in the analysis of various electron scattering
observables even for low--medium values of the bound nucleon momentum.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 17:17:48 GMT""}]","2009-10-31"
"nucl-th/9809049","Ron Workman","Ron L. Workman and Richard A. Arndt","Stability of the E2/M1 ratio at the T-matrix pole","6 pages of text","Phys.Rev. C59 (1999) 1810-1812","10.1103/PhysRevC.59.1810",,"nucl-th",,"  We show how the stability of the E2/M1 ratio, evaluated at the T-matrix pole,
can be understood given a much wider variation at the K-matrix pole.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 00:38:45 GMT""}]","2009-10-31"
"nucl-th/9809050","Derek B. Leinweber","Derek B. Leinweber","Not Strange but Bizarre Physics from the SAMPLE Experiment","10 pages, 7 figures. Presented at the workshop on ""Future Directions
  in Quark Nuclear Physics,"" CSSM, Adelaide, March 9--20, 1998",,,"ADP-98-54/T322","nucl-th",,"  Since the report of the SAMPLE Collaboration suggesting the strange-quark
contribution to nucleon magnetic moments, G_M^s(0), may be greater than zero,
numerous models have appeared supporting positive values for G_M^s(0). In this
paper the bizarre physics associated with G_M^s(0) > 0 is illustrated. Using
new lattice QCD results, our best estimate for G_M^s(0) shifts slightly from
G_M^s(0) = -0.75 +/- 0.30 mu_N, to G_M^s(0) = -0.62 +/- 0.26 mu_N.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 05:15:24 GMT""}]","2007-05-23"
"nucl-th/9809051","Helmut Hofmann","H.Hofmann","On the macroscopic limit of nuclear collective motion and its relation
  to chaotic behavior","5 pages, LaTex; talk prepared for the ""V. Workshop on non-equilibrium
  at short time scales"", Rostock, April 1998 e-mail:
  hhofmann@physik.tu-muenchen.de; www home page:
  http://www.physik.tu-muenchen.de/lehrstuehle/T36/e/hofmann.html",,,,"nucl-th",,"  In this note we concentrate on slow collective motion of isoscalar type at
small but finite excitations, as given in nuclear fission, for instance. We
report on microscopic results of transport coefficients, review how they depend
on temperature and address the interplay of one and two body viscosity. We
examine how transport properties might be influenced by chaotic behavior of
nucleonic dynamics.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 10:00:08 GMT""}]","2007-05-23"
"nucl-th/9809052","Alberto Mengoni","A. Mengoni (1,2), T. Motobayashi (3), T. Otsuka (2) ((1) ENEA,
  Bologna, (2) The University of Tokyo, Tokyo, (3) Rikkyo University, Tokyo)","Reaction rates from Coulomb dissociation: Core excitation effects","4 pages, 2 figures, Proceedings of ""NUCLEI IN THE COSMOS V"" (Volos,
  Greece). HTML version on:
  http://risc990.bologna.enea.it:8001/mengoni/Volos98_paper/",,,,"nucl-th",,"  A process, involving the 7Be core excitation in the Coulomb breakup of 8B
into p + 7Be has been investigated. From the experimental results recently
obtained in RIKEN we have derived the mixing amplitude of the
  | 7Be(1/2-) X (1p_{3/2}); 2+> configuration in the ground state of 8B.
Implications on the evaluation of the S17 at stellar energies are discussed.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 14:57:09 GMT""}]","2007-05-23"
"physics/9809020","JUNGMANN Klaus","Klaus P. Jungmann (Physikalisches Insitut, Universitaet Heidelberg)","Muonium","submitted to proceedings of Workshop in Sadansky on ""QED and Physics
  of the Vacuum"", D. Baklanov (ed.) (1998)",,,"UHD-PI-MY-9809","physics.atom-ph",,"  The energy levels of the muonium ($\mu^+ e^-$) atom, which consists of two
''point-like'' leptonic particles, can be calculated to very high accuracy in
the framework of bound state Quantum Electrodynamics (QED), since there are no
complications due to internal nuclear structure and size which is the case for
all atoms and ions of natural isotopes including atomic hydrogen. The ground
state hyperfine splitting and the 1s-2s energy interval can provide both tests
of QED theory and determinations of fundamental constants like the muon mass
$m_{\mu}$ and the fine structure constant $\alpha$. The excellent understanding
of the electromagnetic binding in the muonium atom allows in particular testing
fundamental physical laws like lepton number conservation in searches for
muonium to antimuonium conversion and probing the nature of the muon as a heavy
leptonic object. New measurements on the ground state hyperfine splitting and
the 1s-2s transition are discussed.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 21:58:38 GMT""}]","2016-09-08"
"physics/9809021","Peter I. Melnikov","P.I.Melnikov, I.A.Ivanov","Ha spectroscopy for hot plasma parameters measurement","5 pages, 5 figures",,,,"physics.plasm-ph physics.ins-det",,"  The new spectroscopic method for measurement of hot plasma parameters is
developed. The method based on Ha profile monitoring. The profile was
accurately calculated for a wide range of plasma parameters (n$_e \sim $
10$^{14} \div $ 10$^{17}$ cm$^{-3}$, T$_e \sim 1\div$500 eV) Use of the method
in the experiment gives the electron density and ion temperature dependence
from the time. Measurements was in a good agreement with diamagnetic loop
dates.
  Key words: H$_\alpha$ spectroscopy, line profile, density and high
temperature measurement.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 06:07:38 GMT""}]","2007-05-23"
"physics/9809022",,"I.B. Khriplovich and R.A. Sen'kov","Nucleon Polarizability Contribution to the Hydrogen Lamb Shift and
  Hydrogen -- Deuterium Isotope Shift","4 pages, latex, no figures, minor misprints corrected, to be
  published in Phys.Lett.A",,"10.1016/S0375-9601(98)00784-1",,"physics.atom-ph nucl-th",,"  The correction to the hydrogen Lamb shift due to the proton electric and
magnetic polarizabilities is expressed analytically through their static
values, which are known from experiment. The numerical value of the correction
to the hydrogen 1S state is $ - 71 \pm 11 \pm 7$ Hz. Correction to the H-D
1S-2S -- isotope shift due to the proton and neutron polarizabilities is
estimated as $ 53 \pm 9 \pm 11$ Hz.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 08:51:38 GMT""},{""version"":""v2"",""created"":""Wed, 30 Sep 1998 10:10:08 GMT""}]","2009-10-31"
"physics/9809023","Lars Petter Endresen","L. P. Endresen and J. S. Hoye","A Solution to the Gating Paradox","7 pages, 1 figure",,,"Theoretical Physics Seminar in Trondheim. No 5. 1998","physics.bio-ph physics.class-ph",,"  We introduce a Markov model for the gating of membrane channels. The model
features a possible solution to the so-called gating current paradox, namely
that the bell-shaped curve that describes the voltage dependence of the
kinetics is broader than expected from, and shifted relative to, the sigmoidal
curve that describes the voltage dependence of the activation. The model also
predicts some temperature dependence of this shift, but presence of the latter
has not been tested experimentally so far.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 13:05:20 GMT""}]","2007-05-23"
"quant-ph/9809042","Paul Slater","Paul B. Slater (University of California)","Sensitivity of estimates of the volume of the set of separable states to
  the choice of ""uniform"" distributions","This paper has been withdrawn for two reasons: (1) it has been
  superseded by ""A Priori Probabilities of Quantum Disentanglements""
  (quant-ph/9810026); and (2) due to a programming error, all the random
  numbers generated were drawn from [0,1], while certain of them should have
  been taken from [0,2 pi]",,,,"quant-ph",,"  This paper has been withdrawn for the reasons mentioned in the Comments.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 20:54:14 GMT""},{""version"":""v2"",""created"":""Wed, 16 Sep 1998 17:22:31 GMT""},{""version"":""v3"",""created"":""Fri, 9 Oct 1998 15:41:16 GMT""}]","2007-05-23"
"quant-ph/9809043","Geza Giedke","G. Giedke, H. Briegel, J.I. Cirac, P. Zoller","Lower Bounds for Attainable Fidelity in Entanglement Purification","11 pages","Phys.Rev. A59 (1999) 2641-2648","10.1103/PhysRevA.59.2641",,"quant-ph",,"  We derive lower bounds for the attainable fidelity of standard entanglement
purification protocols when local operations and measurements are subjected to
errors. We introduce an error parameter which measures the distance between the
ideal completely positive map describing a purification step and the one in the
presence of errors. We derive non--linear maps for a lower bound of the
fidelity at each purification step in terms of this parameter.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 13:29:39 GMT""}]","2009-10-31"
"quant-ph/9809044","Wen-Fa Lu","Wen-Fa Lu","Thermalized Displaced and Squeezed Number States in Coordinate
  Representation","12 pages, no figures, Revtex. v3: substantially revised","J.Phys.A32:5037-5051,1999","10.1088/0305-4470/32/27/305","SJTU-DAP-LU-9901","quant-ph",,"  Within the framework of thermofield dynamics, the wavefunctions of the
thermalized displaced number and squeezed number states are given in the
coordinate representation. Furthermore, the time evolution of these
wavefunctions is considered by introducing a thermal coordinate representation,
and we also calculate the corresponding probability densities, average values
and variances of position coordinate, which are consistent with results in the
literature.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 15:04:28 GMT""},{""version"":""v2"",""created"":""Thu, 7 Jan 1999 13:55:12 GMT""},{""version"":""v3"",""created"":""Mon, 22 Mar 1999 03:08:08 GMT""}]","2008-11-26"
