"adap-org/9812004","Rui Vilela Mendes","R. Vilela Mendes (Grupo de Fisica Matematica, Lisboa, Portugal)","Clustering and synchronization with positive Lyapunov exponents","10 pages Latex, 2 ps figures","Physics Letters A 257 (1999) 132","10.1016/S0375-9601(99)00319-9",,"adap-org nlin.AO",,"  Clustering and correlation effects are frequently observed in chaotic systems
in situations where, because of the positivity of the Lyapunov exponents, no
dimension reduction is to be expected. In this paper, using a globally coupled
network of Bernoulli units, one finds a general mechanism by which strong
correlations and slow structures are obtained at the synchronization edge. A
structure index is defined, which diverges at the transition points. Some
conclusions are drawn concerning the construction of an ergodic theory of
self-organization.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:58:47 GMT""}]","2009-10-30"
"hep-th/9812163","Zurab Kakushadze","Zurab Kakushadze","TeV-scale Supersymmetric Standard Model and Brane World","38 pages, revtex, minor misprints corrected, a few clarifying
  remarks, acknowledgments and references added","Nucl.Phys. B552 (1999) 3-40","10.1016/S0550-3213(99)00200-X","HUTP-98/A087, NUB 3190","hep-th hep-ph",,"  Recently we proposed a TeV-scale Supersymmetric Standard Model in which the
gauge coupling unification is as precise (at one loop) as in the MSSM, and
occurs in the TeV range. One of the key ingredients of this model is the
presence of new states neutral under $SU(3)_c\otimes SU(2)_w$ but charged under
$U(1)_Y$ whose mass scale is around that of the electroweak Higgs doublets. In
this paper we show that introduction of these states allows to gauge novel
anomaly free discrete (as well as continuous) symmetries (similar to ``lepton''
and ``baryon'' numbers) which suppress dangerous higher dimensional operators
and stabilize proton. Moreover, we argue that these gauge symmetries are
essential for successfully generating small neutrino masses via a recently
proposed higher dimensional mechanism. Furthermore, the mass hierarchy between
the up and down quarks (e.g., $t$ vs. $b$) can be explained without appealing
to large $\tan\beta$, and the $\mu$-term for the electroweak Higgs doublets (as
well as for the new states) can be generated. We also discuss various
phenomenological implications of our model which lead to predictions testable
in the present or near future collider experiments. In particular, we point out
that signatures of scenarios with high vs. low unification (string) scale might
be rather different. This suggest a possibility that the collider experiments
may distinguish between these scenarios even without a direct production of
heavy Kaluza-Klein or string states.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 06:45:54 GMT""},{""version"":""v2"",""created"":""Tue, 5 Jan 1999 23:11:06 GMT""}]","2009-10-31"
"hep-th/9812164","Shin'ichi Nojiri","S. Nojiri, O. Obregon, S.D. Odintsov, and K.E. Osetrin","Induced wormholes due to quantum effects of spherically reduced matter
  in large N approximation","LaTeX file, 2 eps figures, 9 pages, few misprints are corrected,
  numerics are changed","Phys.Lett.B449:173-179,1999","10.1016/S0370-2693(99)00095-7","NDA-FP-54","hep-th",,"  Using one-loop effective action in large N and s-wave approximation we
discuss the possibility to induce primordial wormholes at the early Universe.
An analytical solution is found for self-consistent primordial wormhole with
constant radius. Numerical study gives the wormhole solution with increasing
throat radius and increasing red-shift function. There is also some indication
to the possibility of a topological phase transition.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 07:11:36 GMT""},{""version"":""v2"",""created"":""Sat, 16 Jan 1999 08:03:53 GMT""}]","2009-09-17"
"hep-th/9812165","Konstadinos Sfetsos","Konstadinos Sfetsos","On (multi-)center branes and exact string vacua","9 pages, latex; To be published in the proceedings of the Quantum
  Aspects of Gauge Theories, Supersymmetry and Unification, Corfu, Greece,
  20-26 September 1998",,"10.1007/BFb0104249","CERN-TH/98-408","hep-th",,"  Multicenter supergravity solutions corresponding to Higgs phases of
supersymmetric Yang-Mills theories are considered. For NS5 branes we identify
three cases where there is a description in terms of exact conformal field
theories. Other supergravity solutions, such as D3-branes with angular
momentum, are understood as special limits of multicenter ones. Within our
context we also consider 4-dim gravitational multi-instantons.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 10:14:10 GMT""}]","2009-10-31"
"hep-th/9812166","Anastasios Petkou","A. C. Petkou and M. B. Silva Neto","On the Free-Energy of Three-Dimensional CFTs and Polylogarithms","Latex, 13 pages, 2 eps figures; v2 typos corrected; v3 Expanded
  discussion of the results, added references","Phys.Lett. B456 (1999) 147-154","10.1016/S0370-2693(99)00477-3","DO-TH 98/21, CBPF-NF-080/98","hep-th cond-mat hep-ph",,"  We study the O(N) vector model and the U(N) Gross-Neveu model with fixed
total fermion number, in three dimensions. Using non-trivial polylogarithmic
identities, we calculate the large-N renormalized free-energy density of these
models, at their conformal points in a ``slab'' geometry with one finite
dimension of length L. We comment on the possible implications of our results.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 09:57:20 GMT""},{""version"":""v2"",""created"":""Tue, 29 Dec 1998 15:07:12 GMT""},{""version"":""v3"",""created"":""Sun, 7 Mar 1999 19:58:26 GMT""}]","2009-10-31"
"hep-th/9812167","Marek Pawlowski","M. Pawlowski, V. N. Pervushin, V. I. Smirichinski","Hamiltonian Reduction of General Relativity and Conformal Unified Theory","19 pages, latex, 1 figure (eps), submited to Classical and Quantum
  Gravity",,,,"hep-th",,"  We discuss the application of the method of the gaugeless Hamiltonian
reduction to general relativity. This method is based on explicit resolving the
global part of the energy constraint and on identification of one of the metric
components with the evolution parameter of the equivalent unconstrained
(reduced) system. The Hamiltonian reduction reveals a possibility to unify
General Relativity and Standard Model of strong and electro-weak interactions
with the modulus of the Higgs field identified with the product of the
determinant of 3D metric and the Planck constant. We give the geometrical
foundation of the scalar field, derive and discuss experimental consequences of
this unified model: the cosmic Higgs vacuum, the Hoyle-Narlikar cosmology, a
$\sigma$-model version of Standard Model without Higgs particle excitations and
inflation.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 11:41:36 GMT""}]","2007-05-23"
"hep-th/9812168","Magnus Holm","Magnus Holm","New insights in brane and Kaluza--Klein theory through almost product
  structures","Latex file, 58 pages, 2 figures",,,"Goteborg-ITP-98-21","hep-th",,"  We will show that gauge theory can be described by an almost product
structure, which is a certain type of endomorphism of the tangent bundle. We
will recover the gauge field strength as the Nijenhuis tensor of this
endomorphism. We discuss a generalization to the case of a general Kaluza-Klein
theory. Furthermore, we will look at the classification of these almost product
structures in the case where we have a manifold with metric, and fit the
M-brane solutions into this classification scheme. In this analysis certain
algebraic properties of the space of differential forms and multivectors are
obtained. All analysis is global but we will give local expressions where we
find it suitable.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:56:59 GMT""}]","2007-05-23"
"hep-th/9812169","Klaus Behrndt","Klaus Behrndt","Orbifolds of AdS(3) and fixpoints of the CFT","7 pages, LaTeX; minor corrections; refs added","Fortsch.Phys. 48 (2000) 15-18","10.1002/(SICI)1521-3978(20001)48:1/3<15::AID-PROP15>3.0.CO;2-H",,"hep-th",,"  The 3-d BTZ black hole represents an orbifold of $AdS_3$ gravity. The UV as
well as the IR region of the CFT is governed by a gauged SL(2, R) WZW model. In
the UV it corresponds to a light-cone gauging (Liouville model) whereas in the
IR it is a space-like gauging (2-d black hole).
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:16:47 GMT""},{""version"":""v2"",""created"":""Tue, 22 Dec 1998 16:46:57 GMT""}]","2015-06-26"
"math-ph/9812015","Christian Maes","Christian Maes","The Fluctuation Theorem as a Gibbs Property",,"J. Stat. Phys. 95, 367 (1999)","10.1023/A:1004541830999",,"math-ph math.DS math.MP",,"  Common ground to recent studies exploiting relations between dynamical
systems and non-equilibrium statistical mechanics is, so we argue, the standard
Gibbs formalism applied on the level of space-time histories. The assumptions
(chaoticity principle) underlying the Gallavotti-Cohen fluctuation theorem make
it possible, using symbolic dynamics, to employ the theory of one-dimensional
lattice spin systems. The Kurchan and Lebowitz-Spohn analysis of this
fluctuation theorem for stochastic dynamics can be restated on the level of the
space-time measure which is a Gibbs measure for an interaction determined by
the transition probabilities. In this note we understand the fluctuation
theorem as a Gibbs property as it follows from the very definition of Gibbs
state. We give a local version of the fluctuation theorem in the Gibbsian
context and we derive from this a version also for some class of spatially
extended stochastic dynamics.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 15:59:58 GMT""}]","2015-06-26"
"math/9812099","Vadim V. Varlamov","Vadim V. Varlamov","Dirac-Hestenes spinors and Weierstrass representation for surfaces in 4D
  complex space","14 pages, LaTeX2e",,,,"math.DG",,"  Representations of Dirac-Hestenes and Dirac spinor fields via coordinates of
surfaces conformally immersed into 4-dimensional complex space are proposed. A
relation between time evolution of spinor fields and integrable deformations of
surfaces is discussed.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 16:48:56 GMT""}]","2007-05-23"
"math/9812100","Antoine Balan","A. Balan","The symplectic form for the fiber bundles over a Riemann surface II","5 pages, no figure",,,,"math.DG",,"  We obtain an explicit formula for the symplectic form over the double
quotient with help of the Green function of a Riemann surface.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 17:43:33 GMT""}]","2007-05-23"
"math/9812101","Chunsheng Ban","Chunsheng Ban, Lee J. McEwan","Canonical Resolution of a Quasi-ordinary Surface Singularity","14 pages",,,,"math.AG",,"  We describe the embedded resolution of a quasi-ordinary surface singularity
(V,p) which results from applying the canonical resolution of Bierstone-Milman
to (V,p). We show that this process depends solely on the characteristic pairs
of (V,p), as predicted by Lipman. We describe the process explicitly enough
that a resolution graph for (V,p) could in principle be obtained by computer
using only the characteristic pairs.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 20:09:05 GMT""}]","2007-05-23"
"math/9812102","Benzion Shklyar","B. Shklyar (Department of Science, Center for Technological Education,
  Holon, Israel)","On Attainable Set and Controllability for Abstract Control Problem with
  Unbounded Input Operator","19 pages, LaTeX, no figures",,,"BSH-98-12","math.DS",,"  For linear evolution control system described by
$\dot{x}=Ax(t)+Bu(t),x(0)=x_{0}$ ($A$ generates a strongly continuous semigroup
${S(t)}_{t\ge 0}$ in a Banach space $X$; $B$ is a linear unbounded operator),
the attainable set $K(t)$ is studied. Conditions of the independence of $t$ for
its closure $\bar{K(t)}$ are established. Controllability conditions for some
classes of evolution systems are obtained.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 20:58:40 GMT""},{""version"":""v2"",""created"":""Fri, 18 Dec 1998 15:29:05 GMT""}]","2007-05-23"
"math/9812103","Octav Cornea","Octavian Cornea","Homotopical Dynamics II: Hopf invariants, smoothings and the Morse
  complex","26 pages",,,,"math.GT math.AT math.DS math.SG",,"  The ambient framed bordism class of the connecting manifold of two
consecutive critical points of a Morse-Smale function is estimated by means of
a certain Hopf invariant. Applications include new examples of non-smoothable
Poincare duality spaces as well as an extension of the Morse complex.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 21:16:50 GMT""}]","2007-05-23"
"math/9812104","Mikhail Grinberg","Mikhail Grinberg and David Kazhdan","Versal deformations of formal arcs","12 pages, AMS-LaTeX",,,,"math.AG",,"  Let X be a complex algebraic variety, and L(X) be the scheme of formal arcs
in X. Let f be an arc whose image is not contained in the singularities of X.
We show that the formal neighborhood of f in L(X) admits a decomposition into a
product of an infinite-dimensional smooth piece, and a piece isomorphic to the
formal neighborhood of a closed point of a scheme of finite type.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 22:05:28 GMT""}]","2007-05-23"
"math/9812105","Ravi Vakil","Ravi Vakil (MIT)","Recursions, formulas, and graph-theoretic interpretations of ramified
  coverings of the sphere by surfaces of genus 0 and 1","12 pages, LaTeX. See also
  http://www-math.mit.edu/~vakil/preprints.html",,,,"math.CO math.AG",,"  We derive a closed-form expression for all genus 1 Hurwitz numbers, and give
a simple new graph-theoretic interpretation of Hurwitz numbers in genus 0 and
1. (Hurwitz numbers essentially count irreducible genus g covers of the sphere,
with arbitrary specified branching over one point, simple branching over other
specified points, and no other branching. The problem is equivalent to counting
transitive factorisations of permutations into transpositions.) These results
prove a conjecture of Goulden and Jackson, and extend results of Hurwitz and
many others.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 22:10:49 GMT""}]","2007-05-23"
"math/9812106","Anne Schilling","Anne Schilling and Mark Shimozono","Bosonic formula for level-restricted paths","16 pages, AMS-LaTeX, style file axodraw.sty required; Lemma 4
  extended to include perfect crystals of level 2","Advanced Studies in Pure Mathematics 28 (2000) 305-325",,"ITFA-98-32","math.QA math.CO math.RT",,"  We prove a bosonic formula for the generating function of level-restricted
paths for the infinite families of affine Kac-Moody algebras. In affine type A
this yields an expression for the level-restricted generalized Kostka
polynomials.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 09:49:06 GMT""},{""version"":""v2"",""created"":""Thu, 4 Mar 1999 09:30:01 GMT""}]","2007-05-23"
"math/9812107","Alexey Sevastyanov","A. Sevostyanov","Regular nilpotent elements and quantum groups","23 pages, LaTeX 2e",,"10.1007/s002200050634","UU-ITP 14/98","math.QA math.CO",,"  We suggest new realizations of quantum groups corresponding to complex simple
Lie algebras, and of affine quantum groups. These new realizations are labeled
by Coxeter elements of the corresponding Weyl group and have the following key
feature: The natural counterparts of the subalgebras U(n), where n is a maximal
nilpotent subalgebra in g, possess non--singular characters.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 14:11:49 GMT""}]","2009-10-31"
"math/9812108","Red Hat Linux User","H. Ahmedov, I. H. Duru","Green function on the quantum plane","8 pages","J. Phys. A: Math. Gen. 32 (1999) 6255","10.1088/0305-4470/32/35/304","FGI-13-98","math.QA",,"  Green function (which can be called the q-analogous of the Hankel function)
on the quantum plane E_q^2= E_q(2)/U(1) is constructed.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 14:36:31 GMT""}]","2009-10-31"
"math/9812109","Ellia Philippe","Ph. Ellia, D. Franco","Gonality, Clifford index and multisecants","15 pages, plain tex",,,,"math.AG",,"  We show, among other things, that in most cases the gonality of a
subcanonical curve in projective-three space is computable by multisecants.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 15:11:34 GMT""}]","2007-05-23"
"math/9812110","Elena Rubei","Elena Rubei","Lazzeri's Jacobian of oriented compact riemannian manifolds","Latex2e, 10 pages",,,"pubblicazioni del Dipartimento di Matematica dell'Universita' di
  Pisa, 1.129.887 Luglio 1995, 1.136.903 Novembre 1995","math.AG",,"  The subject of this paper is a Jacobian, introduced by F. Lazzeri,
(unpublished), associated to every compact oriented riemannian manifold of
dimension twice an odd number. We start the investigation of Torelli type
problems and Schottky type problem for Lazzeri's Jacobian; in particular we
examine the case of tori with flat metrics. Besides we study Lazzeri's Jacobian
for Kahler manifolds and its relationship with other Jacobians. Finally we
examine Lazzeri's Jacobian of a bundle.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 15:58:42 GMT""}]","2007-05-23"
"nucl-ex/9812007","Anatoly Lvov","G.A. Sokol, T.A. Aibergenov, A.V. Kravtsov, Yu.I. Krutov, A.I. L'vov,
  L.N. Pavlyuchenko, S.S. Sidorin","Search for eta-mesic nuclei in photo-mesonic processes","6 pages, 5 figures. Talk given by G.A. Sokol at the 14th
  International Seminar on High Energy Physics Problems (Aug 17-22, 1998,
  Dubna). To appear in proceedings",,,,"nucl-ex",,"  Preliminary results of an experiment performed at the Lebedev Physical
Institute with the bremsstrahlung photon beams of the end-point energies 650
and 850 MeV are presented. Correlated pi+n pairs with the opening angle theta =
180 deg and the energies E_\pi = 300 MeV, E_n = 100 MeV from the process gamma
+ 12C -> N + eta(A-1) -> N + pi+ n + (A-2) were observed. They provide an
evidence for an existence of the eta-11B and eta-11C eta-mesic nuclei.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 09:18:41 GMT""},{""version"":""v2"",""created"":""Sun, 20 Dec 1998 09:51:53 GMT""}]","2007-05-23"
"nucl-th/9812047","Herbert Muther","D. Kn\""odler and H. M\""uther","Photoinduced Two-Nucleon Knockout: A Kinematical Study in Nuclear Matter","11 pages, including 8 figures",,,,"nucl-th",,"  The contributions of short-range nucleon-nucleon correlations, meson exchange
current (MEC) corrections and the influence of Delta isobar excitations
(isobaric currents, IC) on photon induced two-nucleon knockout reactions are
investigated. The nuclear structure functions are evaluated for the system of
infinite nuclear matter. This allows a systematic investigation of the relative
importance of the various contributions (MEC, IC and correlations) in different
kinematical regions. Nucleon-nucleon (NN) correlations derived from a realistic
NN interaction by solving the Bethe-Goldstone equation yield significant
changes in the structure functions W_L and W_T of the (e,e'pn) and (e,e'pp)
reactions. This is true in particular for the so-called 'super parallel'
kinematics at momentum transfers which can be measured e.g. at MAMI in Mainz.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 16:14:25 GMT""}]","2007-05-23"
"nucl-th/9812048","Tetsuro Mizutani","T. Mizutani","Effective Lagrangian Study of $\gamma p \to K^+ \Lambda$ (spin 3/2
  resonances and their off-shell effects)","6 pages, no figure","Few Body Syst.Suppl.11:241-245,1999",,"VPI-IPPAP-98-9","nucl-th",,"  The purpose of the present discussion is to supplement the talk, by B.~Saghai
at this workshop, on the study of the electromagnetic production of strangeness
on the nucleon based upon effective Lagrangian methods. Here we focus on the
proper treatment of the spin 3/2 resonances and their associated effects due to
the spin 1/2 component of the corresponding fields when they are {\it off the
mass shell}.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 18:45:03 GMT""}]","2011-04-15"
"nucl-th/9812049","S. C. Phatak","Abhijit Bhattacharya, Sanjay K. Ghosh and S. C. Phatak","Effect of In-Medium Meson Masses on Nuclear Matter Properties","8 pages, 3 figures, LaTeX",,,,"nucl-th",,"  Masses of hadrons (baryons as well as mesons) are modified in the nuclear
medium because of their interactions. In this paper we investigate the effect
of in-medium meson masses on the properties of the nuclear matter. The
calculations are performed in the Walecka model. We find that with the
inclusion of meson mass modification, the computed equation of state becomes
softer. We also find that the decrease in the nucleon as well as meson masses
in the medium is smaller than that obtained in the case when the in-medium
meson masses are not taken into account.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 06:14:27 GMT""}]","2007-05-23"
"nucl-th/9812050","Alexander Hombach","A. Hombach, W. Cassing, S. Teis and U. Mosel","Analysis of flow effects in relativistic heavy-ion collisions within the
  CBUU approach","25 pages, 17 figures, submitted to Europ. Phys. J. A","Eur.Phys.J. A5 (1999) 157-172",,"UGI-98-40","nucl-th",,"  We study flow phenomena in relativistic heavy-ion collisions, both in
transverse and radial direction, in comparison to experimental data. The
collective dynamics of the nucleus-nucleus collision is described within a
transport model of the coupled channel BUU type (CBUU). This recently developed
version includes all nucleonic resonances up to 1.95 GeV in mass and mean-field
potentials both of the Skyrme and momentum dependent MDYI type. We find that
heavy resonances play an important role in the description of transverse flow
above 1 AGeV incident energy. For radial flow we analyse reaction times and
equilibration and extract the parameters $T$ and $\beta$ for temperature and
collective flow velocity within different prescriptions. Furthermore, we apply
a coalescence model for fragment production and check the mass dependence of
the flow signals.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 10:43:45 GMT""}]","2007-05-23"
"patt-sol/9812006","H. Frauenkron","H. Frauenkron (HLRZ c/o Forschungszentrum J\""ulich GmbH, J\""ulich,
  Germany)","Nonlinear Schr\""odinger solitons scattering off an interface","34 pages, 17 figures, submitted to Physica D, using elseart-style
  (included)",,,"HLRZ1998_83","patt-sol nlin.PS",,"  We integrate the one-dimensional nonlinear Schr\""odinger equation numerically
for solitons moving in external potentials. In particular, we study the
scattering off an interface separating two regions of constant potential
modeled by a linear ramp. Transmission coefficients and inelasticities are
computed as functions of the potential difference and the slope of the ramp.
Our data show that the ramp's slope has a strong influence revealing unexpected
windows of reflection in a transmission regime. The transmission coefficients
for very small potential differences are compared with the theoretical
predictions derived by perturbation theory. Also the time evolution of the
solitary waves after the scattering is studied. We observed that they in
general behave like solitons with an amplified amplitude. Due to this, they
oscillate. The oscillation period is measured and compared with theoretical
predictions.
  PACS number(s): 03.40.Kf, 0.3.65.Ge, 42.65.Tg, 42.81.Dp
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:02:30 GMT""}]","2007-05-23"
"physics/9812032","Le Anh Thu","Le Anh Thu, Le Van Hoang, L I Komarov and T S Romanova","Relativistic dynamical polarizability of hydrogen-like atoms","15 pages, 3 figures (not included, but hard copies are available upon
  request)","J. Phys. B: At. Mol. Opt. Phys. 29 (1996) 2897-2906","10.1088/0953-4075/29/13/023",,"physics.atom-ph",,"  Using the operator representation of the Dirac Coulomb Green function the
analytical method in perturbation theory is employed in obtaining solutions of
the Dirac equation for a hydrogen-like atom in a time-dependent electric field.
The relativistic dynamical polarizability of hydrogen-like atoms is calculated
and analysed.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 17:07:03 GMT""}]","2009-10-31"
"physics/9812033","M. D. Betterton","M. D. Betterton (Physics Department, Harvard University) and Michael
  P. Brenner (Math Department, MIT)","Electrostatic Edge Instability of Lipid Membranes","6 pages, 5 figures; to appear in Phys. Rev. Lett","Physical Review Letters, vol 82, 1598-1601 (1999)","10.1103/PhysRevLett.82.1598",,"physics.bio-ph cond-mat.soft nlin.PS patt-sol q-bio.BM",,"  This paper considers the effect of electrostatics on the stability of a
charged membrane. We show that at low ionic strength and high surface charge
density, repulsion between charges on the membrane renders it unstable to the
formation of holes. A free straight edge is unstable to modulations with
wavelength longer than the Debye screening length. Hence at low ionic strength,
membranes will disintegrate into vesicles. We use these results to interpret
stable holes in red blood cell ghosts (Steck et. al., Science 168:255(1970)).
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 20:21:12 GMT""}]","2011-11-10"
"physics/9812034","Tomoaki Hotta","T. Hotta, M. Fujiwara, T. Kinashi, Y. Kuno, M. Kuss, T. Matsumura, T.
  Nakano, S. Sekikawa, H. Tajima","Studies of 100 um-thick silicon strip detector with analog VLSI readout","8 pages, 6 figures, Submitted to Nucl. Instr. Meth. A",,,,"physics.ins-det hep-ex",,"  We evaluate the performances of a 100 um-thick silicon strip detector (SSD)
with a 300 MeV proton beam and a 90Sr beta-ray source. Signals from the SSD
have been read out using a VLSI chip. Common-mode noise, signal separation
efficiency and energy resolution are compared with those for the SSD's with a
thickness of 300 um and 500 um. Energy resolution for minimum ionizing
particles (MIP's) is improved by fitting the non-constant component in a
common-mode noise with a linear function.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 07:01:19 GMT""}]","2007-05-23"
"quant-ph/9812047","Antonio Vidiella-Barranco","H. Moya-Cessa, A. Vidiella-Barranco, J.A. Roversi, Dagoberto S.
  Freitas, and S.M. Dutra (Universidade Estadual de Campinas, Campinas, Brazil)","Long-time-scale revivals in ion traps","8 pages, 2 figures, in RevTex. To appear in Phys.Rev. A 59 (01 March
  1999)","Phys.Rev. A59 (1999) 2518","10.1103/PhysRevA.59.2518","A 084-98","quant-ph physics.atom-ph",,"  In this contribution we investigate the interaction of a single ion in a trap
with laser beams. Our approach, based on unitary transformating the
Hamiltonian, allows its exact diagonalization without performing the Lamb-Dicke
approximation. We obtain a transformed Jaynes-Cummings type Hamiltonian, and we
demonstrate the existence of super-revivals in that system.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 16:32:46 GMT""}]","2015-08-12"
"quant-ph/9812048","Richard L. Hall","Richard L. Hall, Nasser Saad, and Attila B. von Keviczky","Matrix elements for a generalized spiked harmonic oscillator","12 pages in plain tex with 1 ps figure","J.Math.Phys. 39 (1998) 6345-6352","10.1063/1.532641","CUQM-70","quant-ph math-ph math.MP",,"  Closed-form expressions for the singular-potential integrals <m| x^-alpha |n>
are obtained with respect to the Gol'dman and Krivchenkov eigenfunctions for
the singular potential V(x) = B x^2 + A/x^2, B > 0, A >= 0. These formulas are
generalizations of those found earlier by use of the odd solutions of the
Schroedinger equation with the harmonic oscillator potential [Aguilera-Navarro
et al, J. Math. Phys. 31, 99 (1990)].
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 20:04:41 GMT""}]","2009-10-31"
"quant-ph/9812049","Tad Hogg","Tad Hogg","Single-Step Quantum Search Using Problem Structure","39 pages, 12 figures. Revision describes further improvement with
  multiple steps (section 7). See also
  http://www.parc.xerox.com/dynamics/www/quantum.html","Int.J.Mod.Phys. C11 (2000) 739-773","10.1142/S0129183100000663",,"quant-ph",,"  The structure of satisfiability problems is used to improve search algorithms
for quantum computers and reduce their required coherence times by using only a
single coherent evaluation of problem properties. The structure of random k-SAT
allows determining the asymptotic average behavior of these algorithms, showing
they improve on quantum algorithms, such as amplitude amplification, that
ignore detailed problem structure but remain exponential for hard problem
instances. Compared to good classical methods, the algorithm performs better,
on average, for weakly and highly constrained problems but worse for hard
cases. The analytic techniques introduced here also apply to other quantum
algorithms, supplementing the limited evaluation possible with classical
simulations and showing how quantum computing can use ensemble properties of NP
search problems.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 18:43:56 GMT""},{""version"":""v2"",""created"":""Mon, 15 May 2000 22:09:07 GMT""}]","2009-10-06"
"quant-ph/9812050","Doug Bilodeau","Doug Bilodeau","Why Quantum Mechanics is Hard to Understand","LATEX, 11 pages, no figures",,,,"quant-ph gr-qc hep-th",,"  To understand the foundations of quantum mechanics, we have to think
carefully about how theoretical concepts are rooted in -- and limited by -- the
nature of experience, as Bohr attempted to show. Geometrical pictures of
physical phenomena are favored because of their clarity. Quantum phenomena,
however, do not permit them. Instead, the historical and dynamical aspects of
description diverge and must be expressed in different but complementary
languages. Objective historical facts are recorded in terms of objects, which
necessarily have an imprecise, empirical quality. Dynamics is based on
quantitative abstraction from recurring patterns. The ""quantum of action"" is
the discontinuity between these two ways of looking at the physical world.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 23:19:26 GMT""}]","2007-05-23"
"quant-ph/9812051","Jim McElwaine","Jim McElwaine","Random Hamiltonian Models and Quantum Prediction Algorithms","25 pages, 11 figures, LaTeX2e",,,,"quant-ph",,"  This paper describes an algorithm for selecting a consistent set within the
consistent histories approach to quantum mechanics and investigates its
properties. The algorithm select from among the consistent sets formed by
projections defined by the Schmidt decomposition by making projections at the
earliest possible time. The algorithm unconditionally predicts the possible
events in closed quantum systems and ascribes probabilities to these events. A
simple random Hamiltonian model is described and the results of applying the
algorithm to this model using computer programs are discussed and compared with
approximate analytic calculations.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 10:33:30 GMT""}]","2007-05-23"
"quant-ph/9812052","Gregoire Ribordy","G. Ribordy, J.-D. Gautier, N. Gisin, O. Guinnard, and H. Zbinden","Automated 'plug & play' quantum key distribution","4 pages, 2 figures, HTML format","Electronics Letters, 29th October 1998, 34, (22), pp. 2116-2117",,,"quant-ph",,"  An improved ""plug & play"" interferometric system for quantum key distribution
is presented. Self-alignment and compensation of birefringence remain, while
limitations due to reflections are overcome. Original electronics implementing
the BB84 protocol makes adjustment simple. Key creation with 0.1 photon per
pulse at a rate of 325 Hz with a 2.9 percent QBER - corresponding to a net rate
of 210Hz - over a 23 Km installed cable was performed.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 15:42:23 GMT""}]","2007-05-23"
"solv-int/9812020","V. E. Vekslerchik","V.E. Vekslerchik","Functional representation of the Ablowitz-Ladik hierarchy. II","arxiv version is already official","J. Nonlinear Math. Phys. 9, no. 2 (2002) 157-180","10.2991/jnmp.2002.9.2.3",,"solv-int nlin.SI",,"  In this paper I continue studies of the functional representation of the
Ablowitz-Ladik hierarchy (ALH). Using formal series solutions of the
zero-curvature condition I rederive the functional equations for the
tau-functions of the ALH and obtain some new equations which provide more
straightforward description of the ALH and which were absent in the previous
paper. These results are used to establish relations between the ALH and the
discrete-time nonlinear Schrodinger equations, to deduce the superposition
formulae (Fay's identities) for the tau-functions of the hierarchy and to
obtain some new results related to the Lax representation of the ALH and its
conservation laws. Using the previously found connections between the ALH and
other integrable systems I derive functional equations which are equivalent to
the AKNS, derivative nonlinear Schrodinger and Davey-Stewartson hierarchies.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 10:17:02 GMT""},{""version"":""v2"",""created"":""Wed, 20 Nov 2002 14:53:33 GMT""}]","2012-11-09"
